pub_identity,detail,monday,tuesday,wednesday,thursday,friday,saturday,sunday,brunch,dart,entertain,favourite,garden,history,late,music,pool,quiz,roast,sport
3994296a-ca1a-4a2d-863b-7e84f25b11eb,TBC,,,,,,,,,,,,,,,,,,,
39b363b6-9622-4c44-b828-fc7fcbe5de54, ,,,,,,,,,,,,,,,,,,,
39be1804-889f-4c3a-8941-a8d050a75d21, ,,,,,,,,,,,,,,,,,,,
3a5c1bf9-6e93-44d8-8b3f-3b25e7e8e155,Traditional pub,,,,,,,,,,,,,,,,,,,
3a8a9c75-157f-42f4-8a59-ea416e933c99,Traditional pub,,,,,,,,,,,,,,,,,,,
3a9f3f92-5149-4e45-a962-97220c43a1cc,Walled garden,,,,,,,,,,,,,,,,,,,
3b05d8a9-6c34-4508-a0ba-a8dec0354501,Sports and social club,,,,,,,,,,,,,,,,,,,
3b57f89c-3f4b-4557-8410-ddaa82637220,Fri/Sat only with live music and DJs,,,,,,,,,,,,,,,,,,,
3b8f956e-0a9a-4a8e-9a30-afb90e73eae8,Traditional pub,,,,,,,,,,,,,,,,,,,
3be7b977-74f7-4aac-ac24-387e4eeafb4f,Irish bar,,,,,,,,,,,,,,,,,,,
3c0e13d2-57f5-4e20-85da-8c49873b9224,various events,,7pm quiz,,,free beer,,dog day,,,,,,,,,,7pm tuesday,,
3c5d3d3d-05d0-415e-8b19-9229f77932b1,Riverside pub. Tue quiz,,,,,,,,,,,,,,,,,,,
3c88a054-9473-4368-b392-af38c73e9797,"Comedy, live music and dance classes",,,,,,,,,,,,,,,,,,,
3caa5c02-ee38-4a1d-9c2b-39bfcae80981,Pub with Thai food,,,,,,,,,,,,,,,,,,,
3cacdc43-983d-4119-986a-1587674c025e,Taproom. Fri-Sun open,,,,,,,,,,,,,,,,,,,
3cd77292-ecb6-4d7f-b29f-d0dd14c27324,Outdoor seating,,,,,,,,,,,,,,,,,,,
3ce5eac8-17c9-4a33-aba1-c10f695660ef,Taproom open Thur-Sun only,,,,,,,,,,,,,,,,,,,
3e36642a-c63f-406b-9e10-b70b4ace2d69,Last Sun live jazz,,,,,,,,,,,,,,,,,,,
3ebbdbe5-032f-4cc3-ad27-424c04fbf30e,Riverside pub with occasional quizzes and fairs,,,,,,,,,,,,,,,,,,,
3ec4f64f-6065-4e19-8b70-031605d30962,Mon quiz. Outdoor seating,,,,,,,,,,,,,,,,,,,
3f6bf04b-f937-4506-95f6-85d35ea6d738,Gin and beer tasting,,,,,,,,,,,,,,,,,,,
3f98aa20-3786-4f61-a7c9-41c3a480f734,Classic pub,,,,,,,,,,,,,,,,,,,
3fae6292-bea4-4022-95ae-3dd2b2554e23,Table tennis. Comedy.,,,,,,,,,,,,,,,,,,,
3fb949ca-cd80-45b2-b7c9-d450ee2f2c6d,Student only bar. Sat/Sun closed,,,,,,,,,,,,,,,,,,,
3ff4b9d3-b10e-4aa3-84f0-1a6aa8359585,Classic pub,,,,,,,,,,,,,,,,,,,
40059dcc-b717-453f-80cf-90aafee63127,Rooftop bar,,,,,,,,,,,,,,,,,,,
40243318-45ae-459f-bc19-1eb43598bdd9,Riverside,,,,,,,,,,,,,,,,,,,
40892d31-0764-4136-b44b-02225148939b,Outdoor seating,,,,,,,,,,,,,,,,,,,
40ec196c-cc92-497f-9a9a-4a7a43304c2b,Arcade games,,,,,,,,,,,,,,,,,,,
4184f086-d263-4cc3-8466-cb19af980b3c,Cocktail bar,,,,,,,,,,,,,,,,,,,
425a6ac5-d811-40b7-9185-7d147553666a,Outdoor seating,,,,,,,,,,,,,,,,,,,
426915da-c971-4b4c-917e-d2eaaf30dce4,Weatherspoons,,,,,,,,,,,,,,,,,,,
43a799f3-03f9-401d-b71e-ece6c27fd2ff,Late night cocktail bar,,,,,,,,,,,,,,,,,,,
43cbab67-43e7-4615-bd45-910886f17d30,Sport showing pub,,,,,,,,,,,,,,,,,,,
43e5dbec-ad39-4c6c-95bd-68967a88d04a,Riverside pub,,,,,,,,,,,,,,,,,,,
445269c4-b88d-4a1a-a51a-38556661f43c,Tue Irish music. Thur 7pm quiz. Sat live music,,,,,,,,,,,,,,,,,,,
44e3ec1e-f40a-445b-9edb-7994fc4d08d1,Daytime only,,,,,,,,,,,,,,,,,,,
44f933f3-3089-4df8-b983-489565b2424b,Wed 7.30pm quiz,,,,,,,,,,,,,,,,,,,
4523a524-b894-4057-8f68-05512da79c5d,Outdoor seating,,,,,,,,,,,,,,,,,,,
45852adf-75c3-4eb0-b99e-e9df1e047206,Weatherspoons,,,,,,,,,,,,,,,,,,,
45897c9f-51e7-43fa-91a0-e7e89e29590e,Sat/Sun live music with accommodation. Closed Mon,,,,,,,,,,,,,,,,,,,
45cb2079-73b3-494c-9438-bf437bd0cd3a,Fondue nights Wed/Thur,,,,,,,,,,,,,,,,,,,
46179aca-6f27-4242-9f71-f1c2b420f94c,Impressive setting for a bar,,,,,,,,,,,,,,,,,,,
479223e8-2444-4c90-af1b-276047066bd7,Wed 7pm quiz,,,,,,,,,,,,,,,,,,,
4838e1e2-675e-4c43-addd-4bcf7cc58b42,Pub right on the heath,,,,,,,,,,,,,,,,,,,
4910bad5-cc2a-488c-a645-fb92c3273982,Steak restaurant,,,,,,,,,,,,,,,,,,,
49bf46f8-088d-44aa-afee-c96875a311a7,Traditional pub,,,,,,,,,,,,,,,,,,,
49e0632f-b944-4e35-a03d-b97b132e9b0f,Shuffleboard,,,,,,,,,,,,,,,,,,,
49e9472f-a4ea-4195-ab5e-191a4fdcf889,Riverside pub,,,,,,,,,,,,,,,,,,,
4a468f6c-eb8a-4588-829b-14405beaef8d, ,,,,,,,,,,,,,,,,,,,
4a6dd34e-d5f4-4b5c-b3fa-a41d99cc2533,TBC,,,,,,,,,,,,,,,,,,,
4a8884c1-3f3e-4ad8-ad30-15d90ed08b3d,Afro-Caribbean,,,,,,,,,,,,,,,,,,,
4b0f5199-a980-4d1b-b0df-15fd21df824c,Petanque court with outdoor seating,,,,,,,,,,,,,,,,,,,
4b35c570-5afd-4f2d-a3f4-5d994a7e76e4,Quirky decor,,,,,,,,,,,,,,,,,,,
4b4763d9-f1d4-4967-b6ff-f60295e0b08a,Modern pub. First Tue life drawing,,,,,,,,,,,,,,,,,,,
4bd18e41-00da-4560-87ec-96fa38e87e7e,TBC,,,,,,,,,,,,,,,,,,,
4c0c6ec9-0e5a-4f30-840e-2a2d3fa0cec7,Mon 8pm quiz and comedy nights,,,,,,,,,,,,,,,,,,,
4d03fd58-b12d-4800-a087-dfbf347e2625,Outdoor seating,,,,,,,,,,,,,,,,,,,
